phase,window_start,window_end,window_seconds,hrv_status,hrv_reason,rr_count,rr_pairs,rmssd_ms,sdnn_ms,lf_power,z_score,eye_frame_count,eye_face_detected_ratio,eye_on_screen_ratio,eye_mean_confidence,eye_mean_gaze_x,eye_mean_gaze_y,eye_blink_count_max,eye_mean_fps,eye_mean_transition_rate
task,2026-09-19T10:07:40.753973+00:00,2026-09-19T10:08:10.753973+00:00,30.00,ready,,64,63,,,0.0004,0.5040,901,1.0,0.9089900110987791,0.398355469172514,1459.0913039464542,867.1038218529535,0,30.388601373766434,1.2
task,2026-09-19T10:07:41.744093+00:00,2026-09-19T10:08:11.744093+00:00,30.00,ready,,65,64,,,0.0005,0.6557,899,1.0,0.92880978865406,0.4061185294916915,1438.9777740566208,906.1748885895694,0,30.363412478076043,1.2943270300333702
task,2026-09-19T10:07:42.734872+00:00,2026-09-19T10:08:12.734872+00:00,30.00,ready,,66,65,,,0.0006,0.9067,899,1.0,0.92880978865406,0.3934441077681985,1430.7432581336975,938.1857791779715,0,30.34357038115616,1.4062291434927698
task,2026-09-19T10:07:43.769950+00:00,2026-09-19T10:08:13.769950+00:00,30.00,ready,,67,66,,,0.0007,1.1092,899,1.0,0.92880978865406,0.38410642435284176,1404.4922071790206,970.5520051274201,0,30.329825901876475,1.5239154616240267
task,2026-09-19T10:07:44.759042+00:00,2026-09-19T10:08:14.759042+00:00,30.00,ready,,68,67,,,0.0008,1.3783,899,1.0,0.9399332591768632,0.3915232315509522,1334.3879420739418,1010.2108733748641,0,30.319979954404456,1.604004449388209
task,2026-09-19T10:07:45.748334+00:00,2026-09-19T10:08:15.748334+00:00,30.00,ready,,69,68,,,0.0009,1.5994,897,1.0,0.939799331103679,0.39655120669769,1280.0821448851161,1034.2600044822543,0,30.292463623886853,1.6579710144927537
task,2026-09-19T10:07:46.740527+00:00,2026-09-19T10:08:16.740527+00:00,30.00,ready,,70,69,,,0.0003,0.1494,898,1.0,0.9398663697104677,0.39269656942373726,1258.1579526060796,1023.3148036976559,0,30.283891247320447,1.6997772828507796
task,2026-09-19T10:07:46.742197+00:00,2026-09-19T10:08:16.742197+00:00,30.00,ready,,71,70,,,0.0003,0.2392,898,1.0,0.9398663697104677,0.39269656942373726,1258.1579526060796,1023.3148036976559,0,30.283891247320447,1.6997772828507796
task,2026-09-19T10:07:47.864077+00:00,2026-09-19T10:08:17.864077+00:00,30.00,ready,,72,71,,,0.0009,1.5899,898,1.0,0.9398663697104677,0.3924443534521755,1242.65595369673,1010.1886095096828,0,30.266334679704034,1.724053452115813
task,2026-09-19T10:07:48.763883+00:00,2026-09-19T10:08:18.763883+00:00,30.00,ready,,73,72,,,0.0008,1.3098,898,1.0,0.9398663697104677,0.37605357877317763,1229.6301181268973,993.4704454738807,0,30.26597879511415,1.7202672605790645
