timestamp_ms,frame_index,gaze_x_raw,gaze_y_raw,gaze_x_smooth,gaze_y_smooth,grid_row,grid_col,section,confidence,dwell_time_ms,nrevisit_count,transition_rate,iris_size_delta,fps_actual,face_detected,calibration_quality
1787900582419,314,521.8526209369745,363.89420847105504,562.247413827163,346.4549365668789,0,0,sidebar,0.3809296898622665,1003,6,1.4,-0.002789600712630064,3.887908516330483,True,0.3495740135529508
1787900582545,315,491.42397369752445,370.14015626807014,541.0003817882714,353.5605024772363,0,0,sidebar,0.34421975584972364,1129,6,1.2,-0.002786867293645247,3.8942278104141126,True,0.3495740135529508
1787900582671,316,1714.8994826526105,749.2455349718858,893.1701120475732,472.26601222563113,0,0,sidebar,0.683492664935736,1255,6,1.2,-0.0029111803947959904,3.900454577153061,True,0.3495740135529508
1787900582806,317,1910.1622819666704,973.0263042478678,1198.2677630233025,622.494099832302,0,1,main_file,0.29180839874357134,0,7,1.2,-0.0029942830733403047,3.9063409195445606,True,0.3495740135529508
1787900582931,318,1880.8576019216016,1049.6331543338304,1403.0447146927922,750.6358161827604,1,1,main_file,0.6116673258825623,125,7,1.2,-0.0030515293134639517,3.9126344315810306,True,0.3495740135529508
1787900583056,319,2048.9769600974328,1061.5645098178486,1596.8243883141843,843.9144242732868,1,1,main_file,0.5796559846021778,250,7,1.0,-0.003016969463406254,3.9189020870416686,True,0.3495740135529508
1787900583184,320,2066.5486059470727,1078.4992828617192,1737.741653604051,914.2898818498165,1,1,main_file,0.2476933268825421,378,7,1.0,-0.0030222012798012503,3.9250714971976324,True,0.3495740135529508
1787900583309,321,2153.668660116864,1072.9511043337602,1862.5197555578948,961.8882485949996,1,2,second_file,0.35127645642599303,0,1,1.0,-0.0030298577025197667,3.931145376430049,True,0.3495740135529508
1787900583439,322,2162.7456136118467,1078.1684298317562,1952.5875129740803,996.7723029660265,1,2,second_file,0.5293445029926709,129,1,1.0,-0.003032282923331653,3.937212727038295,True,0.3495740135529508
1787900583569,323,2178.4270461853457,1076.1899692982292,2020.3393729374598,1020.5976028656871,1,2,second_file,0.6177002461397262,259,1,1.0,-0.003039891293483879,3.9432151829794817,True,0.3495740135529508
