window_idx,window_start,window_end,window_seconds,hrv_status,hrv_coverage,rmssd_ms,sdnn_ms,baseline_rmssd_ms,rmssd_ratio,eye_frames_count,on_screen_ratio,face_detected_ratio,mean_dwell_ms,max_dwell_ms,section_transitions,dominant_section,mean_iris_delta,mean_blink_rate_bpm,head_shifted_ratio,cognitive_state,cognitive_load_score,cognitive_state_desc
10,2026-09-19T12:45:06.373564+00:00,2026-09-19T12:45:31.373564+00:00,25.0,insufficient_data,0.6898287500000151,,,45.177511365921006,,154,0.532,1.0,226.3,796.0,53,off_screen,0.0003,0.0,0.0,CONFUSED,25.3,Transisi area tinggi / mata bolak-balik dan fiksasi lama (indikasi debugging intensif)
11,2026-09-19T12:45:11.373564+00:00,2026-09-19T12:45:36.373564+00:00,25.0,insufficient_data,0.7027584375000151,,,45.177511365921006,,79,0.544,1.0,262.5,796.0,26,off_screen,0.0003,0.0,0.0,CONFUSED,25.4,Transisi area tinggi / mata bolak-balik dan fiksasi lama (indikasi debugging intensif)
12,2026-09-19T12:45:16.373564+00:00,2026-09-19T12:45:41.373564+00:00,25.0,insufficient_data,0.6942818750000151,,,45.177511365921006,,4,0.0,1.0,506.0,606.0,0,off_screen,0.0002,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
13,2026-09-19T12:45:21.373564+00:00,2026-09-19T12:45:46.373564+00:00,25.0,insufficient_data,0.7854296875,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
14,2026-09-19T12:45:26.373564+00:00,2026-09-19T12:45:51.373564+00:00,25.0,ready,0.9038181249999616,39.5628357401458,40.92925730105742,45.177511365921006,0.876,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
15,2026-09-19T12:45:31.373564+00:00,2026-09-19T12:45:56.373564+00:00,25.0,insufficient_data,0.7834274999999615,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
16,2026-09-19T12:45:36.373564+00:00,2026-09-19T12:46:01.373564+00:00,25.0,gap,0.5834274999999616,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
17,2026-09-19T12:45:41.373564+00:00,2026-09-19T12:46:06.373564+00:00,25.0,gap,0.38342749999996156,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
18,2026-09-19T12:45:46.373564+00:00,2026-09-19T12:46:11.373564+00:00,25.0,gap,0.18342749999996158,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
19,2026-09-19T12:45:51.373564+00:00,2026-09-19T12:46:16.373564+00:00,25.0,gap,0.079609375,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
20,2026-09-19T12:45:56.373564+00:00,2026-09-19T12:46:21.373564+00:00,25.0,insufficient_data,0.23,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
21,2026-09-19T12:46:01.373564+00:00,2026-09-19T12:46:26.373564+00:00,25.0,insufficient_data,0.444140625,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
22,2026-09-19T12:46:06.373564+00:00,2026-09-19T12:46:31.373564+00:00,25.0,insufficient_data,0.6253125,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
23,2026-09-19T12:46:11.373564+00:00,2026-09-19T12:46:36.373564+00:00,25.0,ready,0.814375,53.84632466886484,66.9988799279112,45.177511365921006,1.192,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
24,2026-09-19T12:46:16.373564+00:00,2026-09-19T12:46:41.373564+00:00,25.0,ready,0.9663031249999767,54.15007508314662,87.95415444038947,45.177511365921006,1.199,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
25,2026-09-19T12:46:21.373564+00:00,2026-09-19T12:46:46.373564+00:00,25.0,ready,0.9596234374999767,53.74939437643306,86.13286488428905,45.177511365921006,1.19,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
26,2026-09-19T12:46:26.373564+00:00,2026-09-19T12:46:51.373564+00:00,25.0,ready,0.9389593749999767,51.94807356907847,97.34586089872843,45.177511365921006,1.15,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
27,2026-09-19T12:46:31.373564+00:00,2026-09-19T12:46:56.373564+00:00,25.0,ready,0.9384515624999767,56.328576322152934,96.12428399360923,45.177511365921006,1.247,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
28,2026-09-19T12:46:36.373564+00:00,2026-09-19T12:47:01.373564+00:00,25.0,ready,0.9168890624999767,49.15306543106985,62.82136897567152,45.177511365921006,1.088,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
29,2026-09-19T12:46:41.373564+00:00,2026-09-19T12:47:06.373564+00:00,25.0,ready,0.9252093749999767,37.2312451966958,52.19084248328783,45.177511365921006,0.824,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
30,2026-09-19T12:46:46.373564+00:00,2026-09-19T12:47:11.373564+00:00,25.0,ready,0.9204437499999767,39.81352475241784,52.50677147640908,45.177511365921006,0.881,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
31,2026-09-19T12:46:51.373564+00:00,2026-09-19T12:47:16.373564+00:00,25.0,ready,0.9095453124999767,38.24142495125564,52.79570938577628,45.177511365921006,0.846,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
32,2026-09-19T12:46:56.373564+00:00,2026-09-19T12:47:21.373564+00:00,25.0,ready,0.9184906249999767,34.60231847163652,51.984857378198456,45.177511365921006,0.766,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
33,2026-09-19T12:47:01.373564+00:00,2026-09-19T12:47:26.373564+00:00,25.0,ready,0.9170453124999767,35.184370183893705,42.90458435050887,45.177511365921006,0.779,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
34,2026-09-19T12:47:06.373564+00:00,2026-09-19T12:47:31.373564+00:00,25.0,ready,0.8900140624999767,34.98493415280042,44.36714509094627,45.177511365921006,0.774,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
35,2026-09-19T12:47:11.373564+00:00,2026-09-19T12:47:36.373564+00:00,25.0,ready,0.9025921874999767,34.62654325165297,46.91995781488519,45.177511365921006,0.766,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
36,2026-09-19T12:47:16.373564+00:00,2026-09-19T12:47:41.373564+00:00,25.0,ready,0.9036078124999767,37.8750169206336,41.52462868537833,45.177511365921006,0.838,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
37,2026-09-19T12:47:21.373564+00:00,2026-09-19T12:47:46.373564+00:00,25.0,ready,0.8951312499999767,38.902014076635545,44.78269914526503,45.177511365921006,0.861,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
38,2026-09-19T12:47:26.373564+00:00,2026-09-19T12:47:51.373564+00:00,25.0,ready,0.920234375,44.31311428078452,48.40363134484229,45.177511365921006,0.981,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
39,2026-09-19T12:47:31.373564+00:00,2026-09-19T12:47:56.373564+00:00,25.0,ready,0.9900440624999465,43.37020411717795,47.91418600071396,45.177511365921006,0.96,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
40,2026-09-19T12:47:36.373564+00:00,2026-09-19T12:48:01.373564+00:00,25.0,ready,0.9834034374999464,42.02702231454051,40.95101782912279,45.177511365921006,0.93,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
41,2026-09-19T12:47:41.373564+00:00,2026-09-19T12:48:06.373564+00:00,25.0,ready,0.9508643749999465,38.69631656819381,40.537239155795305,45.177511365921006,0.857,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
42,2026-09-19T12:47:46.373564+00:00,2026-09-19T12:48:11.373564+00:00,25.0,ready,0.9497315624999465,37.441516867244744,40.12040896219212,45.177511365921006,0.829,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
43,2026-09-19T12:47:51.373564+00:00,2026-09-19T12:48:16.373564+00:00,25.0,ready,0.9507471874999465,31.623784718784233,34.723906744991574,45.177511365921006,0.7,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
44,2026-09-19T12:47:56.373564+00:00,2026-09-19T12:48:21.373564+00:00,25.0,ready,0.9585206249999465,29.676323414536334,37.41825006289573,45.177511365921006,0.657,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
45,2026-09-19T12:48:01.373564+00:00,2026-09-19T12:48:26.373564+00:00,25.0,ready,0.9592237499999464,29.23985336246068,32.51749641025872,45.177511365921006,0.647,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
46,2026-09-19T12:48:06.373564+00:00,2026-09-19T12:48:31.373564+00:00,25.0,ready,0.9489112499999465,30.14773098148799,40.6373901669236,45.177511365921006,0.667,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
47,2026-09-19T12:48:11.373564+00:00,2026-09-19T12:48:36.373564+00:00,25.0,ready,0.9386378124999465,30.481423896510954,42.56549626714852,45.177511365921006,0.675,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
48,2026-09-19T12:48:16.373564+00:00,2026-09-19T12:48:41.373564+00:00,25.0,ready,0.9509424999999464,37.823841897596765,47.865980831972486,45.177511365921006,0.837,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
49,2026-09-19T12:48:21.373564+00:00,2026-09-19T12:48:46.373564+00:00,25.0,ready,0.9324659374999464,36.45672974716408,42.22530459125929,45.177511365921006,0.807,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
50,2026-09-19T12:48:26.373564+00:00,2026-09-19T12:48:51.373564+00:00,25.0,ready,0.9456690624999464,36.26059541746794,32.34677780569036,45.177511365921006,0.803,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
51,2026-09-19T12:48:31.373564+00:00,2026-09-19T12:48:56.373564+00:00,25.0,ready,0.9177003124999464,35.59502292916225,46.618888086446,45.177511365921006,0.788,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
52,2026-09-19T12:48:36.373564+00:00,2026-09-19T12:49:01.373564+00:00,25.0,ready,0.9293799999999465,30.61187996938744,61.376594621254064,45.177511365921006,0.678,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
53,2026-09-19T12:48:41.373564+00:00,2026-09-19T12:49:06.373564+00:00,25.0,ready,0.8772706249999465,25.113917280606255,65.72891085988049,45.177511365921006,0.556,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
54,2026-09-19T12:48:46.373564+00:00,2026-09-19T12:49:11.373564+00:00,25.0,ready,0.8386768749999465,30.11947365877175,64.10257828541134,45.177511365921006,0.667,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
55,2026-09-19T12:48:51.373564+00:00,2026-09-19T12:49:16.373564+00:00,25.0,ready,0.8039503124999464,29.944458612315813,62.148491719348335,45.177511365921006,0.663,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
56,2026-09-19T12:48:56.373564+00:00,2026-09-19T12:49:21.373564+00:00,25.0,insufficient_data,0.7905909374999465,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
57,2026-09-19T12:49:01.373564+00:00,2026-09-19T12:49:26.373564+00:00,25.0,ready,0.8698046875,28.6259437638669,71.98222146248634,45.177511365921006,0.634,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
58,2026-09-19T12:49:06.373564+00:00,2026-09-19T12:49:31.373564+00:00,25.0,ready,0.9237940624999464,29.052339833495882,67.53352589068497,45.177511365921006,0.643,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
59,2026-09-19T12:49:11.373564+00:00,2026-09-19T12:49:36.373564+00:00,25.0,ready,0.9743359375,25.096208332797797,85.1002373095041,45.177511365921006,0.556,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
60,2026-09-19T12:49:16.373564+00:00,2026-09-19T12:49:41.373564+00:00,25.0,ready,0.9748578124999767,25.67511395581099,83.6141183316188,45.177511365921006,0.568,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
61,2026-09-19T12:49:21.373564+00:00,2026-09-19T12:49:46.373564+00:00,25.0,ready,0.9636078124999767,25.88380940123002,59.08872667622063,45.177511365921006,0.573,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
62,2026-09-19T12:49:26.373564+00:00,2026-09-19T12:49:51.373564+00:00,25.0,ready,0.9038812499999768,30.638935695554178,46.309341634508236,45.177511365921006,0.678,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
63,2026-09-19T12:49:31.373564+00:00,2026-09-19T12:49:56.373564+00:00,25.0,recovering,0.7038812499999767,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
64,2026-09-19T12:49:36.373564+00:00,2026-09-19T12:50:01.373564+00:00,25.0,ready,0.8047015624999767,34.594484226367896,58.18105110666489,45.177511365921006,0.766,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
65,2026-09-19T12:49:41.373564+00:00,2026-09-19T12:50:06.373564+00:00,25.0,insufficient_data,0.7993109374999767,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
66,2026-09-19T12:49:46.373564+00:00,2026-09-19T12:50:11.373564+00:00,25.0,ready,0.8369921875,43.537422715603206,66.00136618100541,45.177511365921006,0.964,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
67,2026-09-19T12:49:51.373564+00:00,2026-09-19T12:50:16.373564+00:00,25.0,ready,0.902890625,40.01523681357008,43.89012788243087,45.177511365921006,0.886,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
68,2026-09-19T12:49:56.373564+00:00,2026-09-19T12:50:21.373564+00:00,25.0,ready,0.9404537500000152,41.57416353984654,45.26451059854209,45.177511365921006,0.92,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
69,2026-09-19T12:50:01.373564+00:00,2026-09-19T12:50:26.373564+00:00,25.0,ready,0.9292818750000151,42.85506568318425,57.564135670840756,45.177511365921006,0.949,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
70,2026-09-19T12:50:06.373564+00:00,2026-09-19T12:50:31.373564+00:00,25.0,ready,0.9372896875000152,44.95411612128798,48.73090057907413,45.177511365921006,0.995,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
71,2026-09-19T12:50:11.373564+00:00,2026-09-19T12:50:36.373564+00:00,25.0,ready,0.9471334375000151,41.97558789751427,44.27399391487916,45.177511365921006,0.929,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
72,2026-09-19T12:50:16.373564+00:00,2026-09-19T12:50:41.373564+00:00,25.0,ready,0.9347506250000152,42.290733513096235,63.6156286411573,45.177511365921006,0.936,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
73,2026-09-19T12:50:21.373564+00:00,2026-09-19T12:50:46.373564+00:00,25.0,insufficient_data,0.8603756250000152,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
74,2026-09-19T12:50:26.373564+00:00,2026-09-19T12:50:51.373564+00:00,25.0,gap,0.6603756250000151,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
75,2026-09-19T12:50:31.373564+00:00,2026-09-19T12:50:56.373564+00:00,25.0,gap,0.4603756250000151,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
76,2026-09-19T12:50:36.373564+00:00,2026-09-19T12:51:01.373564+00:00,25.0,gap,0.26037562500001515,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
77,2026-09-19T12:50:41.373564+00:00,2026-09-19T12:51:06.373564+00:00,25.0,gap,0.060375625000015136,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
78,2026-09-19T12:50:46.373564+00:00,2026-09-19T12:51:11.373564+00:00,25.0,gap,0.0,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
79,2026-09-19T12:50:51.373564+00:00,2026-09-19T12:51:16.373564+00:00,25.0,gap,0.0,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
80,2026-09-19T12:50:56.373564+00:00,2026-09-19T12:51:21.373564+00:00,25.0,gap,0.0,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
81,2026-09-19T12:51:01.373564+00:00,2026-09-19T12:51:26.373564+00:00,25.0,gap,0.0,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
82,2026-09-19T12:51:06.373564+00:00,2026-09-19T12:51:31.373564+00:00,25.0,gap,0.0,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
83,2026-09-19T12:51:11.373564+00:00,2026-09-19T12:51:36.373564+00:00,25.0,gap,0.0,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
84,2026-09-19T12:51:16.373564+00:00,2026-09-19T12:51:41.373564+00:00,25.0,gap,0.0,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
85,2026-09-19T12:51:21.373564+00:00,2026-09-19T12:51:46.373564+00:00,25.0,gap,0.0,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
86,2026-09-19T12:51:26.373564+00:00,2026-09-19T12:51:51.373564+00:00,25.0,gap,0.0,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
87,2026-09-19T12:51:31.373564+00:00,2026-09-19T12:51:56.373564+00:00,25.0,gap,0.0,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
88,2026-09-19T12:51:36.373564+00:00,2026-09-19T12:52:01.373564+00:00,25.0,gap,0.0,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
89,2026-09-19T12:51:41.373564+00:00,2026-09-19T12:52:06.373564+00:00,25.0,gap,0.0,,,45.177511365921006,,0,0.0,0.0,0.0,0.0,0,none,0.0,0.0,0.0,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
